user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_946499345.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	98.11	0.881	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	98.11	0.881	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 91.44, 0.741; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.62, 0.698; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.25, 0.619; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.12, 0.544; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.15, 0.526; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.29, 0.434; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.28, 0.451; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.53, 0.387; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.52, 0.399; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.08, 0.248; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.84, 0.23; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 83.14, 0.15; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 81.01, 0.152	95.67	11	N/A	N/A
GCA_949298965.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	97.52	0.839	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	97.52	0.839	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 91.44, 0.701; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.42, 0.671; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.3, 0.612; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 87.91, 0.519; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.71, 0.472; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.7, 0.507; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 85.97, 0.446; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.59, 0.406; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.24, 0.384; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.75, 0.204; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.01, 0.213	93.66	11	N/A	N/A
GCA_949299235.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	GCA_019113345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	98.06	0.87	GCA_019113345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	98.06	0.87	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 90.25, 0.674; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 90.06, 0.645; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.86, 0.657; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 89.19, 0.588; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.37, 0.422; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.85, 0.443; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 85.53, 0.394; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 84.86, 0.372; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 84.54, 0.341; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.88, 0.227; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.53, 0.204; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 82.17, 0.151	94.78	11	N/A	N/A
GCA_963557555.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.55	0.905	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.55	0.905	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 82.56, 0.153; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 82.37, 0.152; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 82.13, 0.163; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 82.11, 0.15; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 82.04, 0.164; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 81.25, 0.157	95.79	11	N/A	N/A
GCA_963927485.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp944385995	GCA_944385995.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp944385995	98.65	0.953	GCA_944385995.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp944385995	98.65	0.953	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 89.26, 0.672; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 88.83, 0.569; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 88.54, 0.617; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 85.62, 0.43; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 85.34, 0.411; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 85.3, 0.432; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 84.27, 0.307; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 84.2, 0.396; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 83.91, 0.266; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 82.96, 0.183; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.63, 0.191	93.92	11	N/A	N/A
GCA_963929695.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	98.05	0.884	GCA_019119685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium faecigallinarum	98.05	0.884	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 91.5, 0.751; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.42, 0.688; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.35, 0.616; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.12, 0.538; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.08, 0.52; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.55, 0.408; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.44, 0.452; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.97, 0.393; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.89, 0.413; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.58, 0.228; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.51, 0.215; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 82.98, 0.153	94.88	11	N/A	N/A
GCA_963931135.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	GCA_019113345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	98.16	0.883	GCA_019113345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	98.16	0.883	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 90.45, 0.696; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 90.11, 0.663; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.73, 0.666; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 89.33, 0.606; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.16, 0.455; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.01, 0.39; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 85.52, 0.398; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.02, 0.367; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 84.46, 0.335; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 84.14, 0.236; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.42, 0.199	95.71	11	N/A	N/A
GCA_963931455.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp944386015	GCA_944386015.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp944386015	98.49	0.94	GCA_944386015.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp944386015	98.49	0.94	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 92.13, 0.751; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.13, 0.644; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 87.69, 0.494; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 86.03, 0.461; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 85.95, 0.455; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.81, 0.457; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 85.78, 0.409; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.08, 0.35; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 84.57, 0.329; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.01, 0.256; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.77, 0.225; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 81.7, 0.164	94.1	11	N/A	N/A
GCA_964379655.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	97.96	0.847	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	97.96	0.847	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 91.49, 0.741; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.09, 0.645; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.33, 0.601; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.47, 0.525; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.8, 0.491; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.47, 0.419; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 85.3, 0.441; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.04, 0.387; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 84.91, 0.372; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.63, 0.211; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.5, 0.201	91.26	11	N/A	N/A
GCA_965143195.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.57	0.886	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.57	0.886	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 82.94, 0.178; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 82.33, 0.184; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 82.33, 0.162; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 82.0, 0.163; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 82.0, 0.159; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.45, 0.156; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 81.36, 0.158	95.77	11	N/A	N/A
